timestamp_utc,source,dictation_seconds
2026-09-11T17:20:26Z,voiceink,33
2026-09-11T17:21:54Z,voiceink,70
2026-09-11T17:21:54Z,claude-code,
2026-09-11T17:22:04Z,claude-code,
2026-09-11T17:22:28Z,voiceink,13
2026-09-11T17:23:14Z,voiceink,18
2026-09-11T17:24:25Z,voiceink,30
2026-09-11T17:31:21Z,voiceink,8
2026-09-11T17:32:00Z,voiceink,33
2026-09-11T17:32:01Z,claude-code,
2026-09-11T17:33:31Z,voiceink,9
2026-09-11T17:33:48Z,claude-code,
2026-09-11T17:40:33Z,voiceink,14
2026-09-11T17:41:56Z,voiceink,80
2026-09-11T17:41:58Z,claude-code,
2026-09-11T17:42:02Z,voiceink,5
2026-09-11T17:42:03Z,claude-code,
2026-09-11T17:43:06Z,voiceink,8
2026-09-11T17:43:07Z,claude-code,
2026-09-11T17:43:17Z,claude-code,
2026-09-11T17:43:28Z,voiceink,7
2026-09-11T17:43:49Z,voiceink,20
2026-09-11T17:43:50Z,claude-code,
2026-09-11T17:46:18Z,voiceink,37
2026-09-11T17:46:25Z,claude-code,
2026-09-11T17:47:27Z,voiceink,12
2026-09-11T17:47:28Z,claude-code,
2026-09-11T17:50:52Z,voiceink,45
2026-09-11T17:50:53Z,claude-code,
2026-09-11T17:59:45Z,voiceink,34
2026-09-11T18:00:04Z,voiceink,17
2026-09-11T18:00:05Z,claude-code,
2026-09-11T18:02:35Z,voiceink,133
2026-09-11T18:02:36Z,claude-code,
2026-09-11T18:06:58Z,voiceink,57
2026-09-11T18:09:24Z,voiceink,119
2026-09-11T18:09:25Z,claude-code,
2026-09-11T18:59:00Z,voiceink,4
2026-09-11T18:59:43Z,voiceink,29
2026-09-11T18:59:44Z,claude-code,
2026-09-11T19:00:13Z,voiceink,21
2026-09-11T19:00:14Z,claude-code,
2026-09-11T19:03:52Z,voiceink,78
2026-09-11T19:56:57Z,claude-code,
2026-09-11T20:41:53Z,claude-code,
2026-09-12T09:38:00Z,voiceink,40
2026-09-12T09:38:07Z,claude-code,
2026-09-12T10:42:46Z,voiceink,208
2026-09-12T10:42:47Z,claude-code,
2026-09-12T10:44:07Z,voiceink,7
2026-09-12T12:21:19Z,claude-code,
2026-09-12T13:18:58Z,claude-code,
2026-09-12T13:20:36Z,claude-code,
2026-09-12T13:26:00Z,claude-code,
2026-09-12T13:38:37Z,claude-code,
2026-09-12T13:42:29Z,claude-code,
2026-09-12T13:47:58Z,claude-code,
2026-09-12T13:51:54Z,claude-code,
2026-09-12T14:05:51Z,claude-code,
2026-09-12T14:21:49Z,voiceink,7
2026-09-12T14:33:46Z,voiceink,6
2026-09-12T14:33:55Z,voiceink,5
2026-09-12T14:33:57Z,claude-code,
2026-09-12T14:40:59Z,voiceink,226
2026-09-12T14:40:59Z,claude-code,
2026-09-12T14:43:44Z,voiceink,6
2026-09-12T14:44:37Z,voiceink,28
2026-09-12T14:44:38Z,claude-code,
2026-09-12T14:44:38Z,claude-code,
2026-09-12T14:45:51Z,voiceink,32
2026-09-12T14:46:21Z,voiceink,29
2026-09-12T14:46:24Z,claude-code,
2026-09-12T14:46:24Z,claude-code,
2026-09-12T14:46:31Z,claude-code,
2026-09-12T14:46:38Z,claude-code,
2026-09-12T14:46:42Z,claude-code,
2026-09-12T14:48:52Z,voiceink,89
2026-09-12T14:48:53Z,claude-code,
2026-09-12T14:53:26Z,voiceink,130
2026-09-12T14:53:27Z,claude-code,
2026-09-12T14:56:01Z,voiceink,21
2026-09-12T14:58:41Z,voiceink,55
2026-09-12T15:00:56Z,voiceink,133
2026-09-12T15:01:51Z,voiceink,54
2026-09-12T15:01:53Z,claude-code,
2026-09-12T15:04:48Z,voiceink,62
2026-09-12T15:04:55Z,voiceink,5
2026-09-12T15:04:56Z,claude-code,
2026-09-12T15:05:05Z,voiceink,4
2026-09-12T15:05:09Z,claude-code,
2026-09-12T15:08:30Z,voiceink,162
2026-09-12T15:08:36Z,voiceink,5
2026-09-12T15:09:41Z,voiceink,63
2026-09-12T15:09:47Z,voiceink,5
2026-09-12T15:09:48Z,claude-code,
2026-09-12T15:14:44Z,voiceink,49
2026-09-12T15:14:47Z,claude-code,
2026-09-12T15:15:53Z,voiceink,54
2026-09-12T15:16:23Z,voiceink,29
2026-09-12T15:16:25Z,claude-code,
2026-09-12T15:16:40Z,voiceink,13
2026-09-12T15:16:42Z,claude-code,
2026-09-12T15:18:57Z,voiceink,8
2026-09-12T15:18:59Z,claude-code,
2026-09-12T15:21:15Z,voiceink,64
2026-09-12T15:21:16Z,claude-code,
2026-09-12T15:22:33Z,voiceink,6
2026-09-12T15:23:11Z,voiceink,10
2026-09-12T15:23:58Z,voiceink,16
2026-09-12T15:29:09Z,voiceink,49
2026-09-12T15:29:10Z,claude-code,
2026-09-12T15:29:17Z,claude-code,
2026-09-12T15:30:57Z,voiceink,5
2026-09-12T15:32:40Z,voiceink,50
2026-09-12T15:34:01Z,voiceink,67
2026-09-12T15:34:02Z,claude-code,
2026-09-12T15:35:03Z,voiceink,4
2026-09-12T15:35:04Z,claude-code,
2026-09-12T15:36:51Z,voiceink,4
2026-09-12T15:36:53Z,claude-code,
2026-09-12T15:37:17Z,voiceink,22
2026-09-12T15:37:20Z,claude-code,
2026-09-12T15:39:20Z,voiceink,13
2026-09-12T15:39:24Z,claude-code,
2026-09-12T15:42:37Z,voiceink,12
2026-09-12T15:42:40Z,claude-code,
2026-09-12T15:42:56Z,claude-code,
2026-09-12T15:43:12Z,voiceink,8
2026-09-12T15:43:13Z,claude-code,
2026-09-12T15:43:18Z,claude-code,
2026-09-12T15:44:51Z,claude-code,
2026-09-12T15:46:41Z,voiceink,129
2026-09-12T15:46:42Z,claude-code,
2026-09-12T15:48:00Z,voiceink,4
2026-09-12T15:48:02Z,claude-code,
2026-09-12T15:49:37Z,voiceink,32
2026-09-12T15:49:40Z,claude-code,
2026-09-12T15:49:45Z,voiceink,2
2026-09-12T15:49:46Z,claude-code,
2026-09-12T15:53:42Z,voiceink,92
2026-09-12T15:53:44Z,claude-code,
2026-09-12T15:55:42Z,voiceink,93
2026-09-12T15:56:21Z,voiceink,24
2026-09-12T15:56:57Z,voiceink,35
2026-09-12T15:57:45Z,voiceink,7
2026-09-12T15:57:51Z,voiceink,2
2026-09-12T15:57:54Z,claude-code,
2026-09-12T15:58:13Z,voiceink,10
2026-09-12T15:58:15Z,claude-code,
2026-09-12T15:59:01Z,claude-code,
2026-09-12T16:01:55Z,voiceink,80
2026-09-12T16:01:57Z,claude-code,
2026-09-12T16:03:22Z,voiceink,7
2026-09-12T16:03:27Z,claude-code,
